x, y, z,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),squared[mbe (breiman) - mbe (silverman)],squared[mbe (breiman) - parzen],squared[mbe (breiman) - sambe (breiman)],squared[mbe (breiman) - sambe (silverman)],squared[mbe (silverman) - parzen],squared[mbe (silverman) - sambe (breiman)],squared[mbe (silverman) - sambe (silverman)],squared[parzen - sambe (breiman)],squared[parzen - sambe (silverman)],squared[sambe (breiman) - sambe (silverman)]
-1.311446932686988021e+01, 6.709296542511511063e+01, 7.234102926095530961e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.531370890000000086e-07, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.345096802739392353e-14, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.345096802739392353e-14, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.345096802739392353e-14, 2.345096802739392353e-14, 0.000000000000000000e+00
-1.311446932686988021e+01, 6.709296542511511063e+01, 1.435377185803950226e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.658611436548191875e+01, 6.709296542511511063e+01, 1.144339941515617909e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.765059999999999921e-10, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.417567680359999871e-19, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.417567680359999871e-19, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.417567680359999871e-19, 1.417567680359999871e-19, 0.000000000000000000e+00
6.658611436548191875e+01, 6.709296542511511063e+01, 7.234102926095530961e+01, 8.305002140999999296e-06, 1.500000000000000000e+01, 8.510491366000000319e-06, 1.500000000000000000e+01, 9.362172255999999220e-06, 9.000000000000000000e+01, 5.480621954999999796e-06, 2.200000000000000000e+01, 5.561203671999999987e-06, 2.200000000000000000e+01, 4.222582159110104473e-14, 1.117608652049113128e-12, 7.977123435069391371e-12, 7.528430038486740121e-12, 7.253603383911902192e-13, 9.180108647713490807e-12, 8.698297901979840038e-12, 1.506643273919318582e-11, 1.444736217655495979e-11, 6.493413114668120073e-15
6.658611436548191875e+01, 6.709296542511511063e+01, 1.435377185803950226e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.545622399999999881e-08, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.066268300338175853e-15, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.066268300338175853e-15, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.066268300338175853e-15, 2.066268300338175853e-15, 0.000000000000000000e+00
1.462866980578337177e+02, 6.709296542511511063e+01, 1.144339941515617909e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.949700000000000548e-11, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.899653009000001702e-21, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.899653009000001702e-21, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.899653009000001702e-21, 9.899653009000001702e-21, 0.000000000000000000e+00
1.462866980578337177e+02, 6.709296542511511063e+01, 7.234102926095530961e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.970000000000000249e-13, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.576090000000000148e-25, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.576090000000000148e-25, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.576090000000000148e-25, 1.576090000000000148e-25, 0.000000000000000000e+00
1.462866980578337177e+02, 6.709296542511511063e+01, 1.435377185803950226e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.037800000000000025e-10, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.077028840000000126e-20, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.077028840000000126e-20, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.077028840000000126e-20, 1.077028840000000126e-20, 0.000000000000000000e+00
-1.311446932686988021e+01, 1.470018493200117859e+02, 1.144339941515617909e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.577554999999999936e-09, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.488679778024999682e-18, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.488679778024999682e-18, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.488679778024999682e-18, 2.488679778024999682e-18, 0.000000000000000000e+00
-1.311446932686988021e+01, 1.470018493200117859e+02, 7.234102926095530961e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.648919599999999965e-08, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.331461424726416022e-15, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.331461424726416022e-15, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.331461424726416022e-15, 1.331461424726416022e-15, 0.000000000000000000e+00
-1.311446932686988021e+01, 1.470018493200117859e+02, 1.435377185803950226e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.658611436548191875e+01, 1.470018493200117859e+02, 1.144339941515617909e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.150000000000000209e-13, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.922500000000001752e-26, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.922500000000001752e-26, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.922500000000001752e-26, 9.922500000000001752e-26, 0.000000000000000000e+00
6.658611436548191875e+01, 1.470018493200117859e+02, 7.234102926095530961e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.800000000000000060e-14, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.840000000000000653e-28, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.840000000000000653e-28, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.840000000000000653e-28, 7.840000000000000653e-28, 0.000000000000000000e+00
6.658611436548191875e+01, 1.470018493200117859e+02, 1.435377185803950226e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.999999999999999516e-15, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.099999999999998993e-29, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.099999999999998993e-29, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.099999999999998993e-29, 8.099999999999998993e-29, 0.000000000000000000e+00
1.462866980578337177e+02, 1.470018493200117859e+02, 1.144339941515617909e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.262200000000000155e-11, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.816634884000000274e-21, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.816634884000000274e-21, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.816634884000000274e-21, 1.816634884000000274e-21, 0.000000000000000000e+00
1.462866980578337177e+02, 1.470018493200117859e+02, 7.234102926095530961e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.136885000000000113e-09, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.566277503225000821e-18, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.566277503225000821e-18, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.566277503225000821e-18, 4.566277503225000821e-18, 0.000000000000000000e+00
1.462866980578337177e+02, 1.470018493200117859e+02, 1.435377185803950226e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.124503070000000063e-07, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.264507154439425098e-14, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.264507154439425098e-14, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.264507154439425098e-14, 1.264507154439425098e-14, 0.000000000000000000e+00
