x, y, z,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),squared[mbe (breiman) - mbe (silverman)],squared[mbe (breiman) - parzen],squared[mbe (breiman) - sambe (breiman)],squared[mbe (breiman) - sambe (silverman)],squared[mbe (silverman) - parzen],squared[mbe (silverman) - sambe (breiman)],squared[mbe (silverman) - sambe (silverman)],squared[parzen - sambe (breiman)],squared[parzen - sambe (silverman)],squared[sambe (breiman) - sambe (silverman)]
1.878980043635514185e+00, 5.137808151567734427e+01, 4.966284242216421063e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.573555671999999987e-06, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.476077452883371709e-12, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.476077452883371709e-12, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.476077452883371709e-12, 2.476077452883371709e-12, 0.000000000000000000e+00
1.878980043635514185e+00, 5.137808151567734427e+01, 9.818293898182531620e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000000e+01, 8.897977250000000460e-07, 3.000000000000000000e+00, 8.963935280000000345e-07, 3.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.917399914151757019e-13, 8.035213570402868311e-13, 0.000000000000000000e+00, 7.917399914151757019e-13, 8.035213570402868311e-13, 7.917399914151757019e-13, 8.035213570402868311e-13, 4.350461721480884727e-17
4.987040713345596288e+01, 5.137808151567734427e+01, 1.142745862503102838e+00, 3.015962693000000011e-05, 3.000000000000000000e+00, 3.090926595499999841e-05, 3.000000000000000000e+00, 3.424054331799999664e-05, 9.000000000000000000e+01, 1.738840133700000033e-05, 6.000000000000000000e+00, 1.751915267599999892e-05, 6.000000000000000000e+00, 5.619586678029480723e-13, 1.665387856584693886e-11, 1.631042031472981848e-10, 1.597815893660368781e-10, 1.109740886923622187e-11, 1.828137800182842306e-10, 1.792951336244521303e-10, 2.839946893477824845e-10, 2.796049050023650938e-10, 1.709591265029255071e-14
4.987040713345596288e+01, 5.137808151567734427e+01, 4.966284242216421063e+01, 3.017005177400000165e-05, 3.000000000000000000e+00, 3.076608130700000184e-05, 3.000000000000000000e+00, 3.108459208000000058e-05, 9.000000000000000000e+01, 2.486519597500000156e-05, 4.000000000000000000e+00, 2.518933420600000101e-05, 4.000000000000000000e+00, 3.552512042081983271e-13, 8.363839712985716244e-13, 2.814149504818392937e-11, 2.480754749218384016e-11, 1.014491125170567298e-13, 3.482044770141275240e-11, 3.110010822851191306e-11, 3.868088791088916187e-11, 3.475406540095899690e-11, 1.050655927958090018e-13
4.987040713345596288e+01, 5.137808151567734427e+01, 9.818293898182531620e+01, 5.991204991800000256e-05, 6.000000000000000000e+00, 6.168791336500000031e-05, 6.000000000000000000e+00, 6.213997908600000109e-05, 9.000000000000000000e+01, 3.529661092599999681e-05, 4.000000000000000000e+00, 3.742191046899999717e-05, 4.000000000000000000e+00, 3.153690982390713998e-12, 4.963668377625165377e-12, 6.059198367688742495e-10, 5.058063724354662176e-10, 2.043634161032505486e-13, 6.965008444267675210e-10, 5.888388965486805729e-10, 7.205664141733020259e-10, 6.109829161547205110e-10, 4.516898147476010641e-12
9.786183422327640358e+01, 5.137808151567734427e+01, 1.142745862503102838e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.786183422327640358e+01, 5.137808151567734427e+01, 4.966284242216421063e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.040097908999999935e-06, 9.000000000000000000e+01, 7.434602819999999789e-07, 1.000000000000000000e+00, 7.434602819999999789e-07, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.081803660306172207e-12, 5.527331909115194634e-13, 5.527331909115194634e-13, 1.081803660306172207e-12, 5.527331909115194634e-13, 5.527331909115194634e-13, 8.799388175219110458e-14, 8.799388175219110458e-14, 0.000000000000000000e+00
9.786183422327640358e+01, 5.137808151567734427e+01, 9.818293898182531620e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.878980043635514185e+00, 9.883738380592261308e+01, 1.142745862503102838e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.878980043635514185e+00, 9.883738380592261308e+01, 4.966284242216421063e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000000e+01, 3.356814891000000113e-06, 1.000000000000000000e+00, 3.447885308000000125e-06, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.126820621243934272e-11, 1.188791309712225577e-11, 0.000000000000000000e+00, 1.126820621243934272e-11, 1.188791309712225577e-11, 1.126820621243934272e-11, 1.188791309712225577e-11, 8.293820852553891609e-15
