x, y, z,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),mbe (breiman) - mbe (silverman),mbe (breiman) - parzen,mbe (breiman) - sambe (breiman),mbe (breiman) - sambe (silverman),mbe (silverman) - parzen,mbe (silverman) - sambe (breiman),mbe (silverman) - sambe (silverman),parzen - sambe (breiman),parzen - sambe (silverman),sambe (breiman) - sambe (silverman)
7.884103508440376551e-01, 4.930647280770723739e+01, 5.176559056753702492e+01, 3.350635550000000155e-07, 2.000000000000000000e+00, 3.501602900000000000e-07, 2.000000000000000000e+00, 4.370074290000000112e-07, 1.800000000000000000e+02, 2.853018069999999841e-07, 1.000000000000000000e+01, 2.890984709999999738e-07, 1.000000000000000000e+01, -1.509673499999998447e-08, -1.019438739999999957e-07, 4.976174800000003135e-08, 4.596508400000004165e-08, -8.684713900000001128e-08, 6.485848300000001582e-08, 6.106181900000002612e-08, 1.517056220000000271e-07, 1.479089580000000374e-07, -3.796663999999989693e-09
7.884103508440376551e-01, 4.930647280770723739e+01, 9.992779939221711061e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.427013199999999488e-08, 1.800000000000000000e+02, 8.408196100000000224e-08, 1.000000000000000000e+00, 8.408196100000000224e-08, 1.000000000000000000e+00, 0.000000000000000000e+00, -6.427013199999999488e-08, -8.408196100000000224e-08, -8.408196100000000224e-08, -6.427013199999999488e-08, -8.408196100000000224e-08, -8.408196100000000224e-08, -1.981182900000000736e-08, -1.981182900000000736e-08, 0.000000000000000000e+00
4.937055164219495396e+01, 4.930647280770723739e+01, 3.603381742856948122e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.352909349999999928e-07, 1.800000000000000000e+02, 6.409510219999999804e-07, 1.900000000000000000e+01, 6.409510219999999804e-07, 1.900000000000000000e+01, 0.000000000000000000e+00, -1.352909349999999928e-07, -6.409510219999999804e-07, -6.409510219999999804e-07, -1.352909349999999928e-07, -6.409510219999999804e-07, -6.409510219999999804e-07, -5.056600870000000406e-07, -5.056600870000000406e-07, 0.000000000000000000e+00
4.937055164219495396e+01, 4.930647280770723739e+01, 5.176559056753702492e+01, 1.296400210000000115e-07, 1.000000000000000000e+00, 1.278435090000000087e-07, 1.000000000000000000e+00, 6.578625229999999830e-07, 1.800000000000000000e+02, 3.082610529999999904e-07, 6.000000000000000000e+00, 3.028510280000000121e-07, 6.000000000000000000e+00, 1.796512000000002740e-09, -5.282225019999999715e-07, -1.786210319999999789e-07, -1.732110070000000006e-07, -5.300190139999999478e-07, -1.804175439999999817e-07, -1.750075190000000033e-07, 3.496014699999999926e-07, 3.550114949999999709e-07, 5.410024999999978327e-09
4.937055164219495396e+01, 4.930647280770723739e+01, 9.992779939221711061e+01, 1.205701349999999871e-07, 1.000000000000000000e+00, 1.171234290000000037e-07, 1.000000000000000000e+00, 4.006060530000000143e-07, 1.800000000000000000e+02, 4.234720240000000028e-07, 8.000000000000000000e+00, 4.220848970000000075e-07, 8.000000000000000000e+00, 3.446705999999983403e-09, -2.800359180000000272e-07, -3.029018890000000157e-07, -3.015147620000000204e-07, -2.834826239999999841e-07, -3.063485950000000255e-07, -3.049614680000000303e-07, -2.286597099999998851e-08, -2.147884399999999325e-08, 1.387126999999995266e-09
9.795269293354586182e+01, 4.930647280770723739e+01, 3.603381742856948122e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.242084100000000186e-08, 1.800000000000000000e+02, 1.113033019999999978e-07, 1.000000000000000000e+00, 1.186739349999999969e-07, 1.000000000000000000e+00, 0.000000000000000000e+00, -3.242084100000000186e-08, -1.113033019999999978e-07, -1.186739349999999969e-07, -3.242084100000000186e-08, -1.113033019999999978e-07, -1.186739349999999969e-07, -7.888246099999999594e-08, -8.625309399999999505e-08, -7.370632999999999108e-09
9.795269293354586182e+01, 4.930647280770723739e+01, 5.176559056753702492e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.456647400000000237e-08, 1.800000000000000000e+02, 4.653664910000000204e-07, 3.700000000000000000e+01, 4.646577399999999874e-07, 3.700000000000000000e+01, 0.000000000000000000e+00, -4.456647400000000237e-08, -4.653664910000000204e-07, -4.646577399999999874e-07, -4.456647400000000237e-08, -4.653664910000000204e-07, -4.646577399999999874e-07, -4.208000170000000181e-07, -4.200912659999999850e-07, 7.087510000000330523e-10
9.795269293354586182e+01, 4.930647280770723739e+01, 9.992779939221711061e+01, 1.402128779999999938e-07, 1.000000000000000000e+00, 1.406018930000000129e-07, 1.000000000000000000e+00, 1.818831010000000105e-07, 1.800000000000000000e+02, -9.734268000000000738e-09, 0.000000000000000000e+00, -9.734268000000000738e-09, 0.000000000000000000e+00, -3.890150000000190513e-10, -4.167022300000001673e-08, 1.499471459999999863e-07, 1.499471459999999863e-07, -4.128120799999999768e-08, 1.503361610000000053e-07, 1.503361610000000053e-07, 1.916173690000000030e-07, 1.916173690000000030e-07, 0.000000000000000000e+00
7.884103508440376551e-01, 9.834262422606420273e+01, 3.603381742856948122e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.101710999999999940e-09, 1.800000000000000000e+02, 1.356256160000000096e-07, 3.000000000000000000e+00, 1.356256160000000096e-07, 3.000000000000000000e+00, 0.000000000000000000e+00, -3.101710999999999940e-09, -1.356256160000000096e-07, -1.356256160000000096e-07, -3.101710999999999940e-09, -1.356256160000000096e-07, -1.356256160000000096e-07, -1.325239050000000022e-07, -1.325239050000000022e-07, 0.000000000000000000e+00
7.884103508440376551e-01, 9.834262422606420273e+01, 5.176559056753702492e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.530602999999999891e-09, 1.800000000000000000e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -6.530602999999999891e-09, 0.000000000000000000e+00, 0.000000000000000000e+00, -6.530602999999999891e-09, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.530602999999999891e-09, 6.530602999999999891e-09, 0.000000000000000000e+00
