x, y, z,true densities,mbe (breiman),num used patterns (mbe (breiman)),mbe (silverman),num used patterns (mbe (silverman)),parzen,num used patterns (parzen),sambe (breiman),num used patterns (sambe (breiman)),sambe (silverman),num used patterns (sambe (silverman)),mbe (breiman) - mbe (silverman),mbe (breiman) - parzen,mbe (breiman) - sambe (breiman),mbe (breiman) - sambe (silverman),mbe (silverman) - parzen,mbe (silverman) - sambe (breiman),mbe (silverman) - sambe (silverman),parzen - sambe (breiman),parzen - sambe (silverman),sambe (breiman) - sambe (silverman)
2.534647297679690325e+01, 2.584559710037305535e+01, 2.301485071884359357e+01, 1.174526162013683891e-03, 6.223015908899999515e-05, 3.300000000000000000e+01, 1.065749943150000052e-04, 3.600000000000000000e+01, 2.032312972899999833e-05, nan, 5.740027383400000309e-05, 3.300000000000000000e+01, 9.827956804499999330e-05, 3.800000000000000000e+01, -4.434483522600001003e-05, 4.190702935999999682e-05, 4.829885254999992058e-06, -3.604940895599999815e-05, 8.625186458600001362e-05, 4.917472048100000209e-05, 8.295426270000011881e-06, -3.707714410500000476e-05, -7.795643831599998819e-05, -4.087929421099999021e-05
2.057080444745979619e+01, 2.422204478390866456e+01, 2.534960692312851549e+01, 2.478318391466216076e-04, 5.294451504400000269e-05, 3.100000000000000000e+01, 8.020990255699999400e-05, 2.900000000000000000e+01, 1.928016877399999925e-05, nan, 3.955713363799999969e-05, 3.500000000000000000e+01, 6.085698287399999722e-05, 3.500000000000000000e+01, -2.726538751299999131e-05, 3.366434627000000005e-05, 1.338738140600000300e-05, -7.912467829999994529e-06, 6.092973378299999137e-05, 4.065276891899999431e-05, 1.935291968299999679e-05, -2.027696486400000045e-05, -4.157681410000000136e-05, -2.129984923599999752e-05
2.775101359419167579e+01, 2.768860307665786280e+01, 2.413391090676716999e+01, 4.002469395674005965e-04, 5.904000013299999923e-05, 3.300000000000000000e+01, 9.598472513500000045e-05, 3.500000000000000000e+01, 1.987275202400000016e-05, nan, 3.562603186099999765e-05, 3.800000000000000000e+01, 5.910896506100000297e-05, 4.000000000000000000e+01, -3.694472500200000122e-05, 3.916724810899999907e-05, 2.341396827200000158e-05, -6.896492800000374483e-08, 7.611197311100000029e-05, 6.035869327400000280e-05, 3.687576007399999748e-05, -1.575327983699999749e-05, -3.923621303700000282e-05, -2.348293320000000532e-05
2.432403049992838717e+01, 2.265536429210101943e+01, 2.182474336319878461e+01, 3.811336723904045019e-04, 5.814610605300000204e-05, 3.300000000000000000e+01, 9.085544887800000647e-05, 3.200000000000000000e+01, 1.972861017499999878e-05, nan, 4.388667889499999711e-05, 3.300000000000000000e+01, 6.813807042599999658e-05, 3.400000000000000000e+01, -3.270934282500000443e-05, 3.841749587800000665e-05, 1.425942715800000493e-05, -9.991964372999994541e-06, 7.112683870300000430e-05, 4.696876998300000936e-05, 2.271737845200000989e-05, -2.415806871999999833e-05, -4.840946025099999441e-05, -2.425139153099999947e-05
2.118466386578094784e+01, 2.936206639257230222e+01, 2.386038307672222558e+01, 5.816935679476449437e-05, 4.994915431900000111e-05, 3.100000000000000000e+01, 6.654383594799999336e-05, 2.600000000000000000e+01, 1.883681739500000032e-05, nan, 4.823591796500000163e-05, 3.100000000000000000e+01, 7.505663903500000005e-05, 3.100000000000000000e+01, -1.659468162899999224e-05, 3.111233692400000079e-05, 1.713236353999999487e-06, -2.510748471599999894e-05, 4.770701855299999304e-05, 1.830791798299999173e-05, -8.512803087000006693e-06, -2.939910057000000130e-05, -5.621982163999999973e-05, -2.682072106999999842e-05
2.402043608240164119e+01, 2.219866441303204141e+01, 2.673852128749065216e+01, 5.803039958409886680e-04, 5.643623203599999906e-05, 3.200000000000000000e+01, 8.906002381799999921e-05, 3.200000000000000000e+01, 1.964665489299999919e-05, nan, 4.904796670899999974e-05, 3.100000000000000000e+01, 6.352514683799999665e-05, 2.500000000000000000e+01, -3.262379178200000015e-05, 3.678957714299999987e-05, 7.388265326999999324e-06, -7.088914801999997588e-06, 6.941336892500000002e-05, 4.001205710899999947e-05, 2.553487698000000256e-05, -2.940131181600000055e-05, -4.387849194499999746e-05, -1.447718012899999691e-05
2.139121470411982529e+01, 2.452429827188921152e+01, 2.299767589759296627e+01, 3.373166000076388907e-04, 5.597503494100000237e-05, 3.200000000000000000e+01, 8.713914079600000161e-05, 3.000000000000000000e+01, 1.958282347100000006e-05, nan, 4.912814223100000273e-05, 3.200000000000000000e+01, 8.400190490199999549e-05, 3.700000000000000000e+01, -3.116410585499999924e-05, 3.639221146999999893e-05, 6.846892709999999641e-06, -2.802686996099999311e-05, 6.755631732500000494e-05, 3.801099856499999888e-05, 3.137235894000006122e-06, -2.954531876000000268e-05, -6.441908143099999882e-05, -3.487376267099999276e-05
2.586514028587777858e+01, 2.385780498913986847e+01, 2.236002617987823982e+01, 7.682428491272534632e-04, 6.077554258700000156e-05, 3.300000000000000000e+01, 1.027623819830000027e-04, 3.500000000000000000e+01, 2.011156986500000097e-05, nan, 4.217328324700000318e-05, 3.500000000000000000e+01, 6.983703099499999887e-05, 3.800000000000000000e+01, -4.198683939600000110e-05, 4.066397272200000058e-05, 1.860225933999999837e-05, -9.061488407999997315e-06, 8.265081211799999491e-05, 6.058909873599999948e-05, 3.292535098800000379e-05, -2.206171338200000221e-05, -4.972546112999999790e-05, -2.766374774799999569e-05
2.493698262167734825e+01, 2.595777917943565427e+01, 2.514873703092323254e+01, 1.722919999747828416e-03, 6.265244659600000432e-05, 3.300000000000000000e+01, 1.076650108589999989e-04, 3.600000000000000000e+01, 2.038436088200000021e-05, nan, 5.071616790300000256e-05, 3.500000000000000000e+01, 8.410359995400000445e-05, 3.600000000000000000e+01, -4.501256426299999453e-05, 4.226808571400000750e-05, 1.193627869300000177e-05, -2.145115335800000013e-05, 8.728064997700000203e-05, 5.694884295599999630e-05, 2.356141090499999440e-05, -3.033180702100000235e-05, -6.371923907200000763e-05, -3.338743205100000189e-05
2.567634772462951531e+01, 2.358161267889937562e+01, 2.418888609461522421e+01, 1.384991172480630819e-03, 6.195737265400000089e-05, 3.300000000000000000e+01, 1.058810279940000063e-04, 3.600000000000000000e+01, 2.028158645400000097e-05, nan, 2.886966748399999843e-05, 3.500000000000000000e+01, 4.998608105199999678e-05, 4.000000000000000000e+01, -4.392365534000000540e-05, 4.167578619999999653e-05, 3.308770517000000585e-05, 1.197129160200000411e-05, 8.559944154000000192e-05, 7.701136051000001125e-05, 5.589494694200000950e-05, -8.588081029999997454e-06, -2.970449459799999581e-05, -2.111641356799999836e-05
2.349633272659302463e+01, 2.419601468927038823e+01, 2.318174963769738284e+01, 1.017302012333712704e-03, 6.104144623400000120e-05, 3.300000000000000000e+01, 9.941773606499999414e-05, 3.200000000000000000e+01, 2.014628978699999919e-05, nan, 3.821628143400000055e-05, 3.300000000000000000e+01, 6.064299200600000198e-05, 3.300000000000000000e+01, -3.837628983099999295e-05, 4.089515644700000201e-05, 2.282516480000000065e-05, 3.984542279999992147e-07, 7.927144627799999495e-05, 6.120145463099998682e-05, 3.877474405899999216e-05, -1.806999164700000135e-05, -4.049670221900000279e-05, -2.242671057200000144e-05
2.113991475281113352e+01, 2.539673691506493824e+01, 2.410159051457481993e+01, 3.877287853513866774e-04, 5.732025152800000024e-05, 3.300000000000000000e+01, 8.721536554800000268e-05, 3.000000000000000000e+01, 1.960949549699999927e-05, nan, 4.238930258400000093e-05, 3.200000000000000000e+01, 6.865860959099999829e-05, 3.500000000000000000e+01, -2.989511402000000244e-05, 3.771075603100000097e-05, 1.493094894399999930e-05, -1.133835806299999805e-05, 6.760587005100001019e-05, 4.482606296400000175e-05, 1.855675595700000439e-05, -2.277980708700000167e-05, -4.904911409399999902e-05, -2.626930700699999736e-05
2.135476567937613623e+01, 2.603481258213630767e+01, 2.297121918136469532e+01, 2.987448931121969211e-04, 5.589521410100000337e-05, 3.200000000000000000e+01, 8.653117909799999598e-05, 3.000000000000000000e+01, 1.957005797400000112e-05, nan, 3.855525231700000224e-05, 3.300000000000000000e+01, 5.974326999899999866e-05, 3.500000000000000000e+01, -3.063596499699999261e-05, 3.632515612700000225e-05, 1.733996178400000113e-05, -3.848055897999995293e-06, 6.696112112400000164e-05, 4.797592678099999374e-05, 2.678790909899999732e-05, -1.898519434300000112e-05, -4.017321202499999754e-05, -2.118801768199999642e-05
2.511615343611829942e+01, 2.663029605878250905e+01, 2.528841455638935898e+01, 1.437561738661221993e-03, 6.216435505500000501e-05, 3.300000000000000000e+01, 1.063634040630000030e-04, 3.600000000000000000e+01, 2.031570049599999941e-05, nan, 5.527409364000000308e-05, 3.500000000000000000e+01, 8.086530713100000033e-05, 3.200000000000000000e+01, -4.419904900799999804e-05, 4.184865455900000221e-05, 6.890261415000001929e-06, -1.870095207599999532e-05, 8.604770356700000024e-05, 5.108931042299999996e-05, 2.549809693200000271e-05, -3.495839314400000705e-05, -6.054960663499999753e-05, -2.559121349099999725e-05
2.754777738424861511e+01, 2.223884552531728787e+01, 2.589966325985182749e+01, 4.259214599466989493e-04, 5.630854205499999691e-05, 3.200000000000000000e+01, 9.283041798599999620e-05, 3.700000000000000000e+01, 1.964235107099999856e-05, nan, 5.194515926400000331e-05, 3.300000000000000000e+01, 7.827340407799999729e-05, 3.400000000000000000e+01, -3.652187593099999929e-05, 3.666619098399999496e-05, 4.363382790999993600e-06, -2.196486202300000038e-05, 7.318806691499999426e-05, 4.088525872199999289e-05, 1.455701390799999891e-05, -3.230280819300000814e-05, -5.863105300699999534e-05, -2.632824481399999398e-05
2.346871808497964551e+01, 2.305283837981628636e+01, 2.370565280083380344e+01, 8.670967519653027767e-04, 6.009086037800000099e-05, 3.300000000000000000e+01, 9.749054476900000121e-05, 3.200000000000000000e+01, 2.000810137800000131e-05, nan, 4.866574563800000206e-05, 3.100000000000000000e+01, 7.739103743599999715e-05, 3.200000000000000000e+01, -3.739968439100000021e-05, 4.008275900000000307e-05, 1.142511473999999893e-05, -1.730017705799999616e-05, 7.748244339099999651e-05, 4.882479913099999915e-05, 2.009950733300000405e-05, -2.865764426000000074e-05, -5.738293605799999245e-05, -2.872529179799999510e-05
